name,date,year,Short Date,month_name,month_number,day_of_month,day_of_week,Weekday/Weekend,Week Number,notes,date_raw
National Quesadilla Day,2025-09-25,2025,25-09-2025,September,9,25,Thursday,Weekday,39,,2025-09-25
National Food Service Workers Day,2025-09-25,2025,25-09-2025,September,9,25,Thursday,Weekday,39,,2025-09-25
Hug a Vegetarian Day,2025-09-26,2025,26-09-2025,September,9,26,Friday,Weekday,39,Last Friday in September,2025-09-26
National Dumpling Day,2025-09-26,2025,26-09-2025,September,9,26,Friday,Weekday,39,,2025-09-26
National Key Lime Pie Day,2025-09-26,2025,26-09-2025,September,9,26,Friday,Weekday,39,,2025-09-26
National Corned Beef Hash Day,2025-09-27,2025,27-09-2025,September,9,27,Saturday,Weekend,39,,2025-09-27
Strawberry Cream Pie Day,2025-09-28,2025,28-09-2025,September,9,28,Sunday,Weekend,39,,2025-09-28
National Coffee Day,2025-09-29,2025,29-09-2025,September,9,29,Monday,Weekday,40,,2025-09-29
National Mocha Day,2025-09-29,2025,29-09-2025,September,9,29,Monday,Weekday,40,,2025-09-29
National Mulled Cider Day,2025-09-30,2025,30-09-2025,September,9,30,Tuesday,Weekday,40,,2025-09-30
Homemade Cookies Day,2025-10-01,2025,01-10-2025,October,10,1,Wednesday,Weekday,40,,2025-10-01
National Pumpkin Seed Day,2025-10-01,2025,01-10-2025,October,10,1,Wednesday,Weekday,40,First Wednesday in October,2025-10-01
Pudding Season Begins,2025-10-01,2025,01-10-2025,October,10,1,Wednesday,Weekday,40,,2025-10-01
World Vegetarian Day,2025-10-01,2025,01-10-2025,October,10,1,Wednesday,Weekday,40,,2025-10-01
National Fried Scallops Day,2025-10-02,2025,02-10-2025,October,10,2,Thursday,Weekday,40,,2025-10-02
National Caramel Custard Day,2025-10-03,2025,03-10-2025,October,10,3,Friday,Weekday,40,,2025-10-03
Kanelbullens Dag (Cinnamon Bun Day),2025-10-04,2025,04-10-2025,October,10,4,Saturday,Weekend,40,,2025-10-04
National Taco Day,2025-10-04,2025,04-10-2025,October,10,4,Saturday,Weekend,40,,2025-10-04
National Apple Betty Day,2025-10-05,2025,05-10-2025,October,10,5,Sunday,Weekend,40,,2025-10-05
National Noodle Day,2025-10-06,2025,06-10-2025,October,10,6,Monday,Weekday,41,,2025-10-06
National Frappe Day,2025-10-07,2025,07-10-2025,October,10,7,Tuesday,Weekday,41,,2025-10-07
National Fluffernutter Day,2025-10-08,2025,08-10-2025,October,10,8,Wednesday,Weekday,41,,2025-10-08
National Pierogi Day,2025-10-08,2025,08-10-2025,October,10,8,Wednesday,Weekday,41,,2025-10-08
National Salmon Day,2025-10-08,2025,08-10-2025,October,10,8,Wednesday,Weekday,41,,2025-10-08
International Beer and Pizza Day,2025-10-09,2025,09-10-2025,October,10,9,Thursday,Weekday,41,,2025-10-09
Moldy Cheese Day,2025-10-09,2025,09-10-2025,October,10,9,Thursday,Weekday,41,,2025-10-09
Submarine Hoagie Hero Grinder Day,2025-10-09,2025,09-10-2025,October,10,9,Thursday,Weekday,41,,2025-10-09
National Angel Food Cake Day,2025-10-10,2025,10-10-2025,October,10,10,Friday,Weekday,41,,2025-10-10
World Egg Day,2025-10-10,2025,10-10-2025,October,10,10,Friday,Weekday,41,Second Friday of October,2025-10-10
National Sausage Pizza Day,2025-10-11,2025,11-10-2025,October,10,11,Saturday,Weekend,41,,2025-10-11
National Gumbo Day,2025-10-12,2025,12-10-2025,October,10,12,Sunday,Weekend,41,,2025-10-12
National Yorkshire Pudding Day,2025-10-13,2025,13-10-2025,October,10,13,Monday,Weekday,42,,2025-10-13
National Dessert Day,2025-10-14,2025,14-10-2025,October,10,14,Tuesday,Weekday,42,,2025-10-14
National Chocolate Covered Insects Day,2025-10-14,2025,14-10-2025,October,10,14,Tuesday,Weekday,42,,2025-10-14
National Chicken Cacciatore Day,2025-10-15,2025,15-10-2025,October,10,15,Wednesday,Weekday,42,,2025-10-15
National Roast Pheasant Day,2025-10-15,2025,15-10-2025,October,10,15,Wednesday,Weekday,42,,2025-10-15
World Food Day,2025-10-16,2025,16-10-2025,October,10,16,Thursday,Weekday,42,,2025-10-16
Four Prunes Day,2025-10-17,2025,17-10-2025,October,10,17,Friday,Weekday,42,,2025-10-17
National Pasta Day,2025-10-17,2025,17-10-2025,October,10,17,Friday,Weekday,42,,2025-10-17
Meatloaf Appreciation Day,2025-10-18,2025,18-10-2025,October,10,18,Saturday,Weekend,42,,2025-10-18
National Chocolate Cupcake Day,2025-10-18,2025,18-10-2025,October,10,18,Saturday,Weekend,42,,2025-10-18
National Seafood Bisque Day,2025-10-19,2025,19-10-2025,October,10,19,Sunday,Weekend,42,,2025-10-19
National Brandied Fruit Day,2025-10-20,2025,20-10-2025,October,10,20,Monday,Weekday,43,,2025-10-20
National Pumpkin Cheesecake Day,2025-10-21,2025,21-10-2025,October,10,21,Tuesday,Weekday,43,,2025-10-21
National Nut Day,2025-10-22,2025,22-10-2025,October,10,22,Wednesday,Weekday,43,,2025-10-22
National Boston Cream Pie Day,2025-10-23,2025,23-10-2025,October,10,23,Thursday,Weekday,43,,2025-10-23
National Canning Day,2025-10-23,2025,23-10-2025,October,10,23,Thursday,Weekday,43,,2025-10-23
Food Day,2025-10-24,2025,24-10-2025,October,10,24,Friday,Weekday,43,,2025-10-24
Good and Plenty Day,2025-10-24,2025,24-10-2025,October,10,24,Friday,Weekday,43,,2025-10-24
National Bologna Day,2025-10-24,2025,24-10-2025,October,10,24,Friday,Weekday,43,,2025-10-24
National Greasy Foods Day,2025-10-25,2025,25-10-2025,October,10,25,Saturday,Weekend,43,,2025-10-25
Mince Meat Pie Day,2025-10-26,2025,26-10-2025,October,10,26,Sunday,Weekend,43,,2025-10-26
National Chicken Fried Steak Day,2025-10-26,2025,26-10-2025,October,10,26,Sunday,Weekend,43,,2025-10-26
Pumpkin Day,2025-10-26,2025,26-10-2025,October,10,26,Sunday,Weekend,43,,2025-10-26
National Potato Day,2025-10-27,2025,27-10-2025,October,10,27,Monday,Weekday,44,,2025-10-27
National Chocolate Day,2025-10-28,2025,28-10-2025,October,10,28,Tuesday,Weekday,44,,2025-10-28
Wild Foods Day,2025-10-28,2025,28-10-2025,October,10,28,Tuesday,Weekday,44,,2025-10-28
National Oatmeal Day,2025-10-29,2025,29-10-2025,October,10,29,Wednesday,Weekday,44,,2025-10-29
Buy a Donut Day,2025-10-30,2025,30-10-2025,October,10,30,Thursday,Weekday,44,,2025-10-30
National Candy Corn Day,2025-10-30,2025,30-10-2025,October,10,30,Thursday,Weekday,44,,2025-10-30
National Caramel Apple Day,2025-10-31,2025,31-10-2025,October,10,31,Friday,Weekday,44,,2025-10-31
National Deep Fried Clams Day,2025-11-01,2025,01-11-2025,November,11,1,Saturday,Weekend,44,,2025-11-01
National Vinegar Day,2025-11-01,2025,01-11-2025,November,11,1,Saturday,Weekend,44,,2025-11-01
National Deviled Egg Day,2025-11-02,2025,02-11-2025,November,11,2,Sunday,Weekend,44,,2025-11-02
National Sandwich Day,2025-11-03,2025,03-11-2025,November,11,3,Monday,Weekday,45,,2025-11-03
National Candy Day,2025-11-04,2025,04-11-2025,November,11,4,Tuesday,Weekday,45,,2025-11-04
National Donut Day,2025-11-05,2025,05-11-2025,November,11,5,Wednesday,Weekday,45,,2025-11-05
National Men Make Dinner Day,2025-11-06,2025,06-11-2025,November,11,6,Thursday,Weekday,45,First Thursday of November,2025-11-06
National Nachos Day,2025-11-06,2025,06-11-2025,November,11,6,Thursday,Weekday,45,,2025-11-06
National Bittersweet Chocolate with Almonds Day,2025-11-07,2025,07-11-2025,November,11,7,Friday,Weekday,45,,2025-11-07
National Men Make Dinner Day,2025-11-04,2025,04-11-2025,November,11,4,Tuesday,Weekday,45,,2025-11-04
Cook Something Bold & Pungent Day,2025-11-08,2025,08-11-2025,November,11,8,Saturday,Weekend,45,,2025-11-08
National Greek Yogurt Day,2025-11-09,2025,09-11-2025,November,11,9,Sunday,Weekend,45,,2025-11-09
National Pork Belly Day,2025-11-10,2025,10-11-2025,November,11,10,Monday,Weekday,46,,2025-11-10
National Vanilla Cupcake Day,2025-11-10,2025,10-11-2025,November,11,10,Monday,Weekday,46,,2025-11-10
National Mussels Days,2025-11-10,2025,10-11-2025,November,11,10,Monday,Weekday,46,,2025-11-10
National Sundae Day,2025-11-11,2025,11-11-2025,November,11,11,Tuesday,Weekday,46,,2025-11-11
National Pizza with Everything Day (Except Anchovies),2025-11-12,2025,12-11-2025,November,11,12,Wednesday,Weekday,46,,2025-11-12
National Indian Pudding Day,2025-11-13,2025,13-11-2025,November,11,13,Thursday,Weekday,46,,2025-11-13
National Pickle Day,2025-11-14,2025,14-11-2025,November,11,14,Friday,Weekday,46,,2025-11-14
National Bundt Day,2025-11-15,2025,15-11-2025,November,11,15,Saturday,Weekend,46,,2025-11-15
National Clean Out Your Refrigerator Day,2025-11-15,2025,15-11-2025,November,11,15,Saturday,Weekend,46,,2025-11-15
National Raisin Bran Cereal Day,2025-11-15,2025,15-11-2025,November,11,15,Saturday,Weekend,46,,2025-11-15
National Fast Food Day,2025-11-16,2025,16-11-2025,November,11,16,Sunday,Weekend,46,,2025-11-16
Homemade Bread Day,2025-11-17,2025,17-11-2025,November,11,17,Monday,Weekday,47,,2025-11-17
National Baklava Day,2025-11-17,2025,17-11-2025,November,11,17,Monday,Weekday,47,,2025-11-17
National Vichyssoise Day,2025-11-18,2025,18-11-2025,November,11,18,Tuesday,Weekday,47,,2025-11-18
National Macchiato Day,2025-11-19,2025,19-11-2025,November,11,19,Wednesday,Weekday,47,,2025-11-19
Beaujolais Nouveau Day,2025-11-20,2025,20-11-2025,November,11,20,Thursday,Weekday,47,Third Thursday of November,2025-11-20
National Peanut Butter Fudge Day,2025-11-20,2025,20-11-2025,November,11,20,Thursday,Weekday,47,,2025-11-20
Gingerbread Day,2025-11-21,2025,21-11-2025,November,11,21,Friday,Weekday,47,,2025-11-21
National Stuffing Day,2025-11-21,2025,21-11-2025,November,11,21,Friday,Weekday,47,,2025-11-21
National Cashew Day,2025-11-22,2025,22-11-2025,November,11,22,Saturday,Weekend,47,,2025-11-22
Eat a Cranberry Day,2025-11-23,2025,23-11-2025,November,11,23,Sunday,Weekend,47,,2025-11-23
National Sardines Day,2025-11-24,2025,24-11-2025,November,11,24,Monday,Weekday,48,,2025-11-24
National Parfait Day,2025-11-25,2025,25-11-2025,November,11,25,Tuesday,Weekday,48,,2025-11-25
National Cake Day,2025-11-26,2025,26-11-2025,November,11,26,Wednesday,Weekday,48,,2025-11-26
National Bavarian Cream Pie Day,2025-11-27,2025,27-11-2025,November,11,27,Thursday,Weekday,48,,2025-11-27
National French Toast Day,2025-11-28,2025,28-11-2025,November,11,28,Friday,Weekday,48,,2025-11-28
Sinkie Day,2025-11-28,2025,28-11-2025,November,11,28,Friday,Weekday,48,Day after Thanksgiving,2025-11-28
Chocolates Day,2025-11-29,2025,29-11-2025,November,11,29,Saturday,Weekend,48,,2025-11-29
National Lemon Cream Pie Day,2025-11-29,2025,29-11-2025,November,11,29,Saturday,Weekend,48,,2025-11-29
National Mousse Day,2025-11-30,2025,30-11-2025,November,11,30,Sunday,Weekend,48,,2025-11-30
Eat Red Apple Day,2025-12-01,2025,01-12-2025,December,12,1,Monday,Weekday,49,,2025-12-01
National Pie Day,2025-12-01,2025,01-12-2025,December,12,1,Monday,Weekday,49,,2025-12-01
National Fritters Day,2025-12-02,2025,02-12-2025,December,12,2,Tuesday,Weekday,49,,2025-12-02
National Apple Pie Day,2025-12-03,2025,03-12-2025,December,12,3,Wednesday,Weekday,49,,2025-12-03
National Cookie Day,2025-12-04,2025,04-12-2025,December,12,4,Thursday,Weekday,49,,2025-12-04
National Sacher Torte Day,2025-12-05,2025,05-12-2025,December,12,5,Friday,Weekday,49,,2025-12-05
Microwave Oven Day,2025-12-06,2025,06-12-2025,December,12,6,Saturday,Weekend,49,,2025-12-06
National Gazpacho Day,2025-12-06,2025,06-12-2025,December,12,6,Saturday,Weekend,49,,2025-12-06
World Pear Day,2025-12-06,2025,06-12-2025,December,12,6,Saturday,Weekend,49,First Saturday in December,2025-12-06
National Cotton Candy Day,2025-12-07,2025,07-12-2025,December,12,7,Sunday,Weekend,49,,2025-12-07
National Chocolate Brownie Day,2025-12-08,2025,08-12-2025,December,12,8,Monday,Weekday,50,,2025-12-08
National Donair Day,2025-12-08,2025,08-12-2025,December,12,8,Monday,Weekday,50,,2025-12-08
National Opal Apples Day,2025-12-09,2025,09-12-2025,December,12,9,Tuesday,Weekday,50,,2025-12-09
National Pastry Day,2025-12-09,2025,09-12-2025,December,12,9,Tuesday,Weekday,50,,2025-12-09
National Lager Day,2025-12-10,2025,10-12-2025,December,12,10,Wednesday,Weekday,50,,2025-12-10
National Noodle Ring Day,2025-12-11,2025,11-12-2025,December,12,11,Thursday,Weekday,50,,2025-12-11
National Pho Day,2025-12-12,2025,12-12-2025,December,12,12,Friday,Weekday,50,,2025-12-12
National Cocoa Day,2025-12-12,2025,12-12-2025,December,12,12,Friday,Weekday,50,,2025-12-12
Ice Cream and Violins Day,2025-12-13,2025,13-12-2025,December,12,13,Saturday,Weekend,50,,2025-12-13
National Bouillabaisse Day,2025-12-14,2025,14-12-2025,December,12,14,Sunday,Weekend,50,,2025-12-14
National Cupcake Day,2025-12-15,2025,15-12-2025,December,12,15,Monday,Weekday,51,,2025-12-15
National Chocolate Covered Anything Day,2025-12-16,2025,16-12-2025,December,12,16,Tuesday,Weekday,51,,2025-12-16
National Maple Syrup Day,2025-12-17,2025,17-12-2025,December,12,17,Wednesday,Weekday,51,,2025-12-17
National Roast Suckling Pig Day,2025-12-18,2025,18-12-2025,December,12,18,Thursday,Weekday,51,,2025-12-18
National Hard Candy Day,2025-12-19,2025,19-12-2025,December,12,19,Friday,Weekday,51,,2025-12-19
National Fried Shrimp Day,2025-12-20,2025,20-12-2025,December,12,20,Saturday,Weekend,51,,2025-12-20
Kiwi Fruit Day (California),2025-12-21,2025,21-12-2025,December,12,21,Sunday,Weekend,51,,2025-12-21
National Hamburger Day,2025-12-21,2025,21-12-2025,December,12,21,Sunday,Weekend,51,,2025-12-21
National Date Nut Bread Day,2025-12-22,2025,22-12-2025,December,12,22,Monday,Weekday,52,,2025-12-22
National Pfeffernuesse Day,2025-12-23,2025,23-12-2025,December,12,23,Tuesday,Weekday,52,,2025-12-23
National Eggnog Day,2025-12-24,2025,24-12-2025,December,12,24,Wednesday,Weekday,52,,2025-12-24
National Tamales Day,2025-12-25,2025,25-12-2025,December,12,25,Thursday,Weekday,52,,2025-12-25
National Pumpkin Pie Day,2025-12-25,2025,25-12-2025,December,12,25,Thursday,Weekday,52,,2025-12-25
National Candy Cane Day,2025-12-26,2025,26-12-2025,December,12,26,Friday,Weekday,52,,2025-12-26
National Fruit Cake Day,2025-12-27,2025,27-12-2025,December,12,27,Saturday,Weekend,52,,2025-12-27
National Box of Chocolate Day,2025-12-28,2025,28-12-2025,December,12,28,Sunday,Weekend,52,,2025-12-28
Pepper Pot Day,2025-12-29,2025,29-12-2025,December,12,29,Monday,Weekday,53,,2025-12-29
Bacon Day,2025-12-30,2025,30-12-2025,December,12,30,Tuesday,Weekday,53,,2025-12-30
National Bicarbonate of Soda Day (Baking Soda),2025-12-30,2025,30-12-2025,December,12,30,Tuesday,Weekday,53,,2025-12-30
National Champagne Day,2025-12-31,2025,31-12-2025,December,12,31,Wednesday,Weekday,53,,2025-12-31
